provider;plan_name;virtualization;price_monthly;price_hourly;vcpu;cpu_type;ram_gb;storage_gb;storage_type;bandwidth_tb;port_speed_gbps;ipv4;ipv6;backup;snapshot;firewall;api;sla;location;os;link
provider;plan_name;virtualization;price_monthly;price_hourly;vcpu;cpu_type;ram_gb;storage_gb;storage_type;bandwidth_tb;port_speed_gbps;ipv4;ipv6;backup;snapshot;firewall;api;sla;location;os;link
Aliyun;SWAS 2C2G 200M Peak (promo ~38 CNY/year);KVM;3.17 CNY;n/a;2;Shared Intel/AMD;2;40-50;ESSD;unmetered (peak 0.2 Gbps);1;1;yes;yes;yes;yes;yes;99.95%;China;Linux/Windows;https://www.aliyun.com/product/swas
Aliyun;ECS e-c1m1.large 2C2G 3M 40G (promo 99 CNY/year);KVM;8.25 CNY;~0.094 CNY;2;Intel Xeon Platinum (shared/econ);2;40;ESSD Entry;fixed 3 Mbps;1;1;yes;yes;yes;yes;yes;99.975%;China;Linux/Windows;https://www.aliyun.com/product/ecs
Aliyun;ECS u1-c1m2.large 2C4G 5M 80G (promo 199 CNY/year);KVM;16.58 CNY;0.351 CNY;2;Intel Xeon Platinum;4;80;ESSD Entry;fixed 5 Mbps;1;1;yes;yes;yes;yes;yes;99.975%;China;Linux/Windows;https://www.aliyun.com/product/ecs
Aliyun;SWAS HK International 2C0.5G 200M;KVM;25 CNY;n/a;2;Shared;0.5;20;ESSD;unmetered (peak 0.2 Gbps);1;1;yes;yes;yes;yes;yes;99.95%;Hong Kong;Linux/Windows;https://www.aliyun.com/product/swas
Aliyun;SWAS HK International 2C1G 200M;KVM;28 CNY;n/a;2;Shared;1;30;ESSD;unmetered (peak 0.2 Gbps);1;1;yes;yes;yes;yes;yes;99.95%;Hong Kong;Linux/Windows;https://www.aliyun.com/product/swas
Aliyun;SWAS HK International 2C2G 200M;KVM;39 CNY;n/a;2;Shared;2;40;ESSD;unmetered (peak 0.2 Gbps);1;1;yes;yes;yes;yes;yes;99.95%;Hong Kong;Linux/Windows;https://www.aliyun.com/product/swas
Aliyun;SWAS HK International 2C4G 200M;KVM;78 CNY;n/a;2;Shared;4;50;ESSD;unmetered (peak 0.2 Gbps);1;1;yes;yes;yes;yes;yes;99.95%;Hong Kong;Linux/Windows;https://www.aliyun.com/product/swas
Aliyun;ecs.t5-lc1m1.small;KVM;6.52 USD;n/a;1;Intel burstable t5;1;40;cloud disk;pay-by-traffic;1;1;yes;yes;yes;yes;yes;99.975%;Global;Linux/Windows;https://www.alibabacloud.com/product/ecs
Aliyun;Starter 1GB 1 core;KVM;4.50 USD;n/a;1;Shared;1;25;cloud disk;pay-by-traffic;1;1;yes;yes;yes;yes;yes;99.975%;Global;Linux/Windows;https://www.alibabacloud.com/product/ecs
Aliyun;ecs.n4.small;KVM;13.66 USD;n/a;1;Intel shared n4;2;20;cloud disk;pay-by-traffic;1;1;yes;yes;yes;yes;yes;99.975%;Global;Linux/Windows;https://www.alibabacloud.com/product/ecs
Aliyun;ecs.c8y.small;KVM;24.45 USD;n/a;1;Yitian 710 ARM;2;40;ESSD;pay-by-traffic;1;1;yes;yes;yes;yes;yes;99.975%;Global;Linux/Windows;https://www.alibabacloud.com/product/ecs
Aliyun;ecs.t6-c1m2.large;KVM;20.91 USD;0.236 CNY (CN);2;Intel burstable t6;4;40;cloud disk;pay-by-traffic;1;1;yes;yes;yes;yes;yes;99.975%;Global/China;Linux/Windows;https://www.alibabacloud.com/product/ecs
Aliyun;ecs.c7a.large;KVM;58.32 USD;n/a;2;AMD EPYC;4;40;ESSD;pay-by-traffic;1;1;yes;yes;yes;yes;yes;99.975%;Global;Linux/Windows;https://www.alibabacloud.com/product/ecs
Aliyun;ecs.g8i.xlarge;KVM;99.34 USD;~0.994 CNY (CN list);4;Intel Xeon Sapphire/Emerald Rapids;16;0 (attach ESSD);ESSD;pay-by-traffic;1-4;1;yes;yes;yes;yes;yes;99.975%;Global;Linux/Windows;https://www.alibabacloud.com/product/ecs
Aliyun;ecs.g8a.2xlarge;KVM;146.11 USD;n/a;8;AMD EPYC Genoa 9T24;32;0 (attach ESSD);ESSD;pay-by-traffic;~6;1;yes;yes;yes;yes;yes;99.975%;Global;Linux/Windows;https://www.alibabacloud.com/product/ecs
Aliyun;ecs.g8i.2xlarge;KVM;198.67 USD;~1.988 CNY (CN list);8;Intel Xeon Sapphire/Emerald Rapids;32;0 (attach ESSD);ESSD;pay-by-traffic;~6;1;yes;yes;yes;yes;yes;99.975%;Global;Linux/Windows;https://www.alibabacloud.com/product/ecs
